2025-03-17 20:34:08,327 INFO    Thread-3 (_run_job):21688 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-17 20:34:08,329 INFO    Thread-3 (_run_job):21688 [wandb_setup.py:_flush():67] Configure stats pid to 21688
2025-03-17 20:34:08,329 INFO    Thread-3 (_run_job):21688 [wandb_setup.py:_flush():67] Loading settings from C:\Users\singh\.config\wandb\settings
2025-03-17 20:34:08,329 INFO    Thread-3 (_run_job):21688 [wandb_setup.py:_flush():67] Loading settings from C:\Users\singh\OneDrive\Documents\GitHub\DA6401_Assignment-01\wandb\settings
2025-03-17 20:34:08,329 INFO    Thread-3 (_run_job):21688 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-17 20:34:08,329 INFO    Thread-3 (_run_job):21688 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\Users\singh\OneDrive\Documents\GitHub\DA6401_Assignment-01\wandb\run-20250317_203408-cz5teamc\logs\debug.log
2025-03-17 20:34:08,329 INFO    Thread-3 (_run_job):21688 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\Users\singh\OneDrive\Documents\GitHub\DA6401_Assignment-01\wandb\run-20250317_203408-cz5teamc\logs\debug-internal.log
2025-03-17 20:34:08,329 INFO    Thread-3 (_run_job):21688 [wandb_init.py:init():761] calling init triggers
2025-03-17 20:34:08,329 INFO    Thread-3 (_run_job):21688 [wandb_init.py:init():766] wandb.init called with sweep_config: {'activation_func': 'TANH', 'batch_size': 16, 'hidden_neurons': 128, 'initializer': 'RANDOM', 'layers': 4, 'learning_rate': 0.0001, 'max_epochs': 5, 'optimizer': 'SGD', 'weight_decay': 0}
config: {'max_epochs': 5, 'hidden_layers': 3, 'hidden_neurons': 128, 'weight_decay': 0.0005, 'learning_rate': 0.0001, 'optimizer': 'ADAM', 'batch_size': 64, 'activation': 'TANH', 'initializer': 'XAVIER', 'loss_function': 'MSE', '_wandb': {}}
2025-03-17 20:34:08,331 INFO    Thread-3 (_run_job):21688 [wandb_init.py:init():784] starting backend
2025-03-17 20:34:08,331 INFO    Thread-3 (_run_job):21688 [wandb_init.py:init():788] sending inform_init request
2025-03-17 20:34:08,348 INFO    Thread-3 (_run_job):21688 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-03-17 20:34:08,349 INFO    Thread-3 (_run_job):21688 [wandb_init.py:init():798] backend started and connected
2025-03-17 20:34:08,350 INFO    Thread-3 (_run_job):21688 [wandb_run.py:_config_callback():1261] config_cb None None {'activation_func': 'TANH', 'batch_size': 16, 'hidden_neurons': 128, 'initializer': 'RANDOM', 'layers': 4, 'learning_rate': 0.0001, 'max_epochs': 5, 'optimizer': 'SGD', 'weight_decay': 0}
2025-03-17 20:34:08,351 INFO    Thread-3 (_run_job):21688 [wandb_init.py:init():891] updated telemetry
2025-03-17 20:34:08,351 INFO    Thread-3 (_run_job):21688 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-17 20:34:08,830 INFO    Thread-3 (_run_job):21688 [wandb_init.py:init():990] starting run threads in backend
2025-03-17 20:34:09,009 INFO    Thread-3 (_run_job):21688 [wandb_run.py:_console_start():2375] atexit reg
2025-03-17 20:34:09,009 INFO    Thread-3 (_run_job):21688 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-17 20:34:09,010 INFO    Thread-3 (_run_job):21688 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-17 20:34:09,010 INFO    Thread-3 (_run_job):21688 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-17 20:34:09,011 INFO    Thread-3 (_run_job):21688 [wandb_init.py:init():1032] run started, returning control to user process
